aum_label,aum,date,instrument_id,signed_position,abs_position,max_position_by_adv,feature_short_dsi,short_dsi,short_dsi_pct,borrow_tier,target_r_overnight_next,adv_dollar,adv_share_pct,cap_utilization,gross_pnl_contribution,high_short_interest_gt_10pct
1b,1000000000.0,2023-02-27,593,-9072324.340000002,9072324.340000002,9072324.340000002,0.011988535626881697,0.011988535626881697,0.175,A,0.0,181446486.8,5.0,1.0,-0.0,False
1b,1000000000.0,2023-02-27,650,-1243034.7375500002,1243034.7375500002,1243034.7375500002,0.02322283049953903,0.02322283049953903,0.45064102564102565,A,-0.0010451140916215573,24860694.751000002,5.0,1.0,1299.1131205886093,False
1b,1000000000.0,2023-02-27,684,8593023.78995,8593023.78995,8593023.78995,0.04522184677597274,0.04522184677597274,0.742948717948718,A,-0.004423191870890686,171860475.799,5.0,1.0,-38008.59297407711,False
1b,1000000000.0,2023-02-27,749,-7861910.683035572,7861910.683035572,12758183.1575,0.048607660194887395,0.048607660194887395,0.7698717948717949,A,0.0012341125023742627,255163663.15,3.081124712657023,0.6162249425314046,-9702.48226648398,False
1b,1000000000.0,2023-02-27,861,2074323.425,2074323.425,2074323.425,0.047423981162671415,0.047423981162671415,0.7615384615384615,A,0.005319148936170137,41486468.5,5.0,1.0,11033.635239361545,False
1b,1000000000.0,2023-02-27,886,6489568.2700000005,6489568.2700000005,6489568.2700000005,0.05305002046388319,0.05305002046388319,0.8038461538461539,B,-0.00313677321117678,129791365.4,5.0,1.0,-20356.30390143884,False
1b,1000000000.0,2023-02-27,927,2363771.0425,2363771.0425,2363771.0425,0.044934219392224244,0.044934219392224244,0.7403846153846154,A,-0.0039215686274510775,47275420.849999994,5.0,1.0,-9269.690362745327,False
1b,1000000000.0,2023-02-27,938,13608760.941236563,13608760.941236563,20386834.510125,0.04185582616724972,0.04185582616724972,0.708974358974359,A,-0.007397251538436955,407736690.2025,3.3376346225986806,0.6675269245197362,-100667.42780878292,False
1b,1000000000.0,2023-02-27,954,-5748944.845000001,5748944.845000001,5748944.845000001,0.04689990980966137,0.04689990980966137,0.7538461538461538,A,0.005741094513252554,114978896.9,5.0,1.0,-33005.23570662105,False
1b,1000000000.0,2023-02-27,971,3040651.5959249996,3040651.5959249996,3040651.5959249996,0.09696087591240876,0.09696087591240876,0.933974358974359,B,-0.007998476480670202,60813031.91849999,5.0,1.0,-24320.580275918426,False
1b,1000000000.0,2023-02-27,1011,11268570.121262968,11268570.121262968,11630284.825250002,0.054749454912523116,0.054749454912523116,0.8153846153846154,B,0.004016064257028162,232605696.50500003,4.844494477382991,0.9688988954765982,45255.30169181971,False
1b,1000000000.0,2023-02-27,1050,9902692.14445,9902692.14445,9902692.14445,0.06893019376349482,0.06893019376349482,0.8647435897435898,B,0.00921435499515022,198053842.88899997,5.0,1.0,91246.92082664769,False
1b,1000000000.0,2023-02-27,1104,7116570.052500001,7116570.052500001,7116570.052500001,0.0687412016022585,0.0687412016022585,0.8641025641025641,B,0.002097168822090323,142331401.05,5.0,1.0,14924.648834324695,False
1b,1000000000.0,2023-02-27,1128,-4408183.3275,4408183.3275,4408183.3275,0.026994511882974297,0.026994511882974297,0.5301282051282051,A,-0.001926260170713734,88163666.54999998,5.000000000000001,1.0,8491.307968967585,False
1b,1000000000.0,2023-02-27,1153,8690851.9508,8690851.9508,8690851.9508,0.04421269092816738,0.04421269092816738,0.7346153846153847,A,-0.006424860772540897,173817039.01599997,5.000000000000001,1.0,-55837.51377865545,False
1b,1000000000.0,2023-02-27,1168,3042021.8675,3042021.8675,3042021.8675,0.047070414116494215,0.047070414116494215,0.7583333333333333,A,0.00447269303201514,60840437.35,5.0,1.0,13606.030010004935,False
1b,1000000000.0,2023-02-27,1194,-2960176.6570125,2960176.6570125,2960176.6570125,0.00944700421460303,0.00944700421460303,0.09294871794871795,A,0.001954013041250535,59203533.14025,5.0,1.0,-5784.2237922078375,False
1b,1000000000.0,2023-02-27,1251,3824569.0870750006,3824569.0870750006,3824569.0870750006,0.08085732175542236,0.08085732175542236,0.9038461538461539,B,0.0016611295681061566,76491381.7415,5.0,1.0,6353.104795805054,False
1b,1000000000.0,2023-02-27,1252,-1862163.3594499999,1862163.3594499999,1862163.3594499999,0.0338553639246894,0.0338553639246894,0.6282051282051282,A,0.0018583117647752445,37243267.188999996,5.0,1.0,-3460.480078799327,False
1b,1000000000.0,2023-02-27,1339,2796517.487025,2796517.487025,2796517.487025,0.033669921833929355,0.033669921833929355,0.6262820512820513,A,0.01340935190158854,55930349.7405,5.0,1.0,37499.48708246429,False
1b,1000000000.0,2023-02-27,1360,-1228280.498725,1228280.498725,1228280.498725,0.016811733731344015,0.016811733731344015,0.3032051282051282,A,-0.0008255478980765396,24565609.9745,5.0,1.0,1014.0043839708276,False
1b,1000000000.0,2023-02-27,1362,-2200035.68,2200035.68,2200035.68,0.020258532512873094,0.020258532512873094,0.38269230769230766,A,0.00035146829959975534,44000713.6,5.0,1.0,-773.2427995083915,False
1b,1000000000.0,2023-02-27,1400,-3616837.76205,3616837.76205,3616837.76205,0.030342516069788796,0.030342516069788796,0.5807692307692308,A,0.005786903116694164,72336755.241,5.0,1.0,-20930.28971778429,False
1b,1000000000.0,2023-02-27,1430,9444184.919490369,9444184.919490369,9513199.40635,0.14984722063907294,0.14984722063907294,0.9846153846153847,C,-0.009438009438009431,190263988.12699997,4.963726983997853,0.9927453967995705,-89134.30640445645,True
1b,1000000000.0,2023-02-27,1451,3208481.0993469954,3208481.0993469954,3208481.0993469954,0.02100101655455568,0.02100101655455568,0.40064102564102566,A,0.00019110862887328217,64169621.98693991,5.0,1.0,613.1684236620454,False
1b,1000000000.0,2023-02-27,1477,-1080589.8302,1080589.8302,1080589.8302,0.018367454909819638,0.018367454909819638,0.3384615384615385,A,0.0010118043844857816,21611796.604,5.0,1.0,-1093.3455280271062,False
1b,1000000000.0,2023-02-27,1534,9602139.292564409,9602139.292564409,55552108.13250001,0.03617062720560211,0.03617062720560211,0.658974358974359,A,0.0007411067193676679,1111042162.65,0.8642461659296425,0.1728492331859285,7116.209950023789,False
1b,1000000000.0,2023-02-27,1544,-10136038.549557347,10136038.549557347,19230420.73,0.035681976697848616,0.035681976697848616,0.6551282051282051,A,0.042966912341226404,384608414.59999996,2.635417782031373,0.5270835564062746,-435514.27984612214,False
1b,1000000000.0,2023-02-27,1551,4513580.46,4513580.46,4513580.46,0.04416133365728908,0.04416133365728908,0.7333333333333333,A,0.0010288065843622185,90271609.19999999,5.0,1.0,4643.601296296651,False
1b,1000000000.0,2023-02-27,1585,4511771.997900001,4511771.997900001,4511771.997900001,0.05393867819209291,0.05393867819209291,0.8108974358974359,B,0.0,90235439.958,5.0,1.0,0.0,False
1b,1000000000.0,2023-02-27,1589,6406758.330674998,6406758.330674998,6406758.330674998,0.08240736986813188,0.08240736986813188,0.908974358974359,B,-0.0015346838551257846,128135166.61349997,5.0,1.0,-9832.348573779544,False
1b,1000000000.0,2023-02-27,1605,-2990305.1,2990305.1,2990305.1,0.037198355093640126,0.037198355093640126,0.6698717948717948,A,-0.0063470425145421006,59806102.0,5.0,1.0,18979.593601152068,False
1b,1000000000.0,2023-03-14,4,10378974.630275,10378974.630275,10378974.630275,0.05302975596794232,0.05302975596794232,0.8026905829596412,B,-0.01803887001957949,207579492.60549998,5.0,1.0,-187224.9742920438,False
1b,1000000000.0,2023-03-14,13,15621933.467500001,15621933.467500001,15621933.467500001,0.0436521115736391,0.0436521115736391,0.7270980140935298,A,-0.033542523263363044,312438669.35,5.0,1.0,-523999.0667523285,False
1b,1000000000.0,2023-03-14,25,-17355447.675,17355447.675,17355447.675,0.0059896023376919535,0.0059896023376919535,0.02114029468289558,A,-0.032257391748198416,347108953.5,5.0,1.0,559841.4746178344,False
1b,1000000000.0,2023-03-14,26,12656660.142425,12656660.142425,12656660.142425,0.0076966674966861956,0.0076966674966861956,0.04676489429852659,A,-0.03367700112134564,253133202.8485,5.0,1.0,-426238.35780893744,False
1b,1000000000.0,2023-03-14,30,23470053.5575,23470053.5575,23470053.5575,0.012915850373440958,0.012915850373440958,0.1825752722613709,A,-0.03413362559528499,469401071.15,5.0,1.0,-801118.0208329916,False
1b,1000000000.0,2023-03-14,72,-12043526.4075,12043526.4075,12043526.4075,0.031017703750169753,0.031017703750169753,0.5938500960922486,A,-0.03349252241670808,240870528.15,5.0,1.0,403368.0781794095,False
1b,1000000000.0,2023-03-14,75,-14140717.9631,14140717.9631,14140717.9631,0.027830808879295548,0.027830808879295548,0.5413196668802049,A,-0.025622775800711817,282814359.26199996,5.0,1.0,362324.44602960953,False
1b,1000000000.0,2023-03-14,81,19366045.27,19366045.27,19366045.27,0.026128282464550283,0.026128282464550283,0.5035233824471492,A,-0.040633375186040044,387320905.4,5.0,1.0,-786907.7833257462,False
