aum_label,aum,date,instrument_id,signed_position,abs_position,max_position_by_adv,feature_short_dsi,short_dsi,short_dsi_pct,borrow_tier,target_r_overnight_next,adv_dollar,adv_share_pct,cap_utilization,gross_pnl_contribution,high_short_interest_gt_10pct
50m,50000000.0,2013-04-05,187,727558.3167722265,727558.3167722265,79773653.194625,0.015211812366114233,0.015211812366114233,0.23609923011120615,A,0.0011613207048069007,1595473063.8925,0.0456014164850387,0.00912028329700774,844.9285372220444,False
50m,50000000.0,2013-04-05,191,-939856.0671271485,939856.0671271485,4213050.465,0.022780182101616836,0.022780182101616836,0.41317365269461076,A,-0.0012777921483554389,84261009.3,1.1154104074174063,0.22308208148348124,1200.9407031592928,False
50m,50000000.0,2013-04-05,193,-1727109.6285451592,1727109.6285451592,5578455.3475,0.0028179527846963278,0.0028179527846963278,0.013686911890504704,A,0.00217942885893585,111569106.95,1.5480177943157403,0.30960355886314805,-3764.112566997296,False
50m,50000000.0,2013-04-05,197,-1344762.7020478887,1344762.7020478887,8442897.22,0.011017122769516498,0.011017122769516498,0.11548331907613345,A,-0.0011109060265103166,168857944.4,0.7963869907490645,0.1592773981498129,1493.9049899312968,False
50m,50000000.0,2013-04-05,207,1180749.0253779392,1180749.0253779392,4621396.13,0.1565924262555726,0.1565924262555726,0.9520958083832335,C,0.00347105317527463,92427922.6,1.2774808652660763,0.25549617305321526,4098.442653740521,True
50m,50000000.0,2013-04-05,213,-828553.8443611895,828553.8443611895,15068551.832575,0.014431008052180718,0.014431008052180718,0.21214713430282292,A,0.00011973624969963126,301371036.6515,0.27492815950967253,0.0549856319019345,-99.2079299980208,False
50m,50000000.0,2013-04-05,220,-288458.7894648834,288458.7894648834,67194847.6775715,0.030272893859675375,0.030272893859675375,0.5380667236954663,A,0.0036361538956384276,1343896953.55143,0.021464353252873436,0.004292870650574687,-1048.8805510438808,False
50m,50000000.0,2013-04-05,221,690423.4837930786,690423.4837930786,8522117.662691,0.18271791836496312,0.18271791836496312,0.9674935842600513,C,-0.0015225905187555844,170442353.25382,0.40507741803172076,0.08101548360634414,-1051.2322503495413,True
50m,50000000.0,2013-04-05,262,573427.9924661302,573427.9924661302,6854758.361300001,0.05543074070323322,0.05543074070323322,0.756201881950385,A,0.0008404553459346875,137095167.226,0.41827002663109186,0.08365400532621838,481.9406217767548,False
50m,50000000.0,2013-04-05,271,-619189.8060471002,619189.8060471002,5336529.135000001,0.02519667377383108,0.02519667377383108,0.46535500427716,A,-0.0013824563732285355,106730582.7,0.5801428141618309,0.11602856283236616,856.0028936079545,False
50m,50000000.0,2013-04-05,305,971396.9648158448,971396.9648158448,2035349.028325,0.18003180999875779,0.18003180999875779,0.9666381522668948,C,0.004211511464670137,40706980.5665,2.386315445894949,0.4772630891789898,4091.0494540677037,True
50m,50000000.0,2013-04-05,307,-500666.6056042632,500666.6056042632,11256653.2925,0.022708985043316074,0.022708985043316074,0.41146278870829767,A,-0.0035770486723299966,225133065.85,0.2223869708849626,0.04447739417699252,1790.9088168566957,False
50m,50000000.0,2013-04-05,308,-882652.950175309,882652.950175309,7029183.972408,0.014300996029513234,0.014300996029513234,0.20530367835757057,A,-0.0005788160888750005,140583679.44816,0.6278488041001842,0.12556976082003682,510.89372845445297,False
50m,50000000.0,2013-04-05,342,-1330552.9328746274,1330552.9328746274,5525059.300100001,0.048410522517022894,0.048410522517022894,0.718562874251497,A,-0.0002853865517588039,110501186.002,1.204107377499591,0.2408214754999182,379.7219134456532,False
50m,50000000.0,2013-04-05,344,708323.1202216421,708323.1202216421,4479246.998800001,0.025078758916802942,0.025078758916802942,0.4627887082976903,A,-0.010896111215479953,89584939.97600001,0.7906720933355575,0.1581344186671115,-7717.96749443079,False
50m,50000000.0,2013-04-05,350,-850177.5743894678,850177.5743894678,1391146.335,0.013127728955989676,0.013127728955989676,0.17365269461077845,A,0.0020145441851360246,27822926.7,3.055672695962168,0.6111345391924335,-1712.7202888193524,False
